epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7866,1.33222,3.6428,1.4906,0.6209,0.20644,0.19327,0.11449,1.28146,7.09093,1.43801,0.08911,0.00011,0.00011
2,70.408,1.04868,2.45932,1.26551,0.36303,0.53333,0.19932,0.11491,1.36447,4.13908,1.54705,0.0772277,0.000227723,0.000227723
3,96.3719,1.10517,2.04727,1.2701,0.56,0.27016,0.32144,0.18425,1.75238,4.73798,2.06399,0.0653431,0.00034307,0.00034307
4,125.801,1.06598,1.90492,1.26887,0.54197,0.41444,0.43069,0.32164,1.03557,2.58171,1.26458,0.053456,0.000456041,0.000456041
5,158.83,0.93306,1.744,1.18842,0.58903,0.46025,0.51194,0.37201,1.03934,4.49475,1.22418,0.0415666,0.000566636,0.000566636
6,195.999,0.93553,1.59711,1.22972,0.79698,0.25862,0.34206,0.24067,1.17022,2.44615,1.33488,0.0296749,0.000674855,0.000674855
7,232.768,0.92519,1.47976,1.19218,0.76748,0.21778,0.32164,0.27583,0.99681,2.64565,1.22446,0.0177807,0.000780698,0.000780698
8,263.49,1.01747,1.53314,1.23535,0.56322,0.44444,0.44268,0.36447,0.79154,1.59627,1.10243,0.00588417,0.000884165,0.000884165
9,301.679,0.8781,1.32275,1.14429,0.5113,0.36921,0.4315,0.32813,0.94989,2.85154,1.24734,0.0009208,0.0009208,0.0009208
10,351.818,0.94165,1.31906,1.17001,0.45636,0.26352,0.33165,0.29823,0.72324,2.67326,1.04819,0.0009109,0.0009109,0.0009109
11,385.925,0.91798,1.2222,1.18235,0.74496,0.49424,0.57901,0.46051,0.92326,1.23316,1.14569,0.000901,0.000901,0.000901
12,417.851,0.90658,1.27784,1.18215,0.60053,0.55226,0.62779,0.51458,0.89463,1.51396,1.14392,0.0008911,0.0008911,0.0008911
13,448.515,0.92086,1.20636,1.16445,0.72154,0.41556,0.50222,0.42141,0.77623,2.31185,1.06428,0.0008812,0.0008812,0.0008812
14,479.877,0.88421,1.08041,1.15427,0.52213,0.59907,0.56472,0.45966,0.79999,1.42619,1.17537,0.0008713,0.0008713,0.0008713
15,516.827,0.85163,1.11175,1.15184,0.58101,0.60396,0.58651,0.46319,0.75712,1.58528,1.09247,0.0008614,0.0008614,0.0008614
16,546.058,0.80635,1.04359,1.12608,0.51991,0.57225,0.55274,0.41513,0.87391,1.71484,1.19655,0.0008515,0.0008515,0.0008515
17,571.182,0.8449,1.06735,1.16681,0.74665,0.72167,0.84725,0.6517,0.85463,1.3533,1.134,0.0008416,0.0008416,0.0008416
18,602.184,0.81117,0.95224,1.11222,0.86154,0.57186,0.73397,0.59283,0.85309,1.1887,1.16391,0.0008317,0.0008317,0.0008317
19,632.784,0.83297,0.98872,1.17126,0.5186,0.82176,0.80315,0.57558,1.04466,1.44909,1.38631,0.0008218,0.0008218,0.0008218
20,667.927,0.83169,0.98376,1.15375,0.70808,0.86607,0.904,0.74935,0.69557,1.13864,1.06991,0.0008119,0.0008119,0.0008119
21,712.799,0.79121,0.97983,1.12334,0.77982,0.83226,0.92927,0.73148,0.85764,1.06252,1.20382,0.000802,0.000802,0.000802
22,744.125,0.80513,0.84436,1.14531,0.81204,0.67412,0.8114,0.69047,0.7262,0.96749,1.10992,0.0007921,0.0007921,0.0007921
23,775.035,0.83429,0.89055,1.16242,0.76067,0.80923,0.93792,0.79344,0.58843,0.95126,1.02729,0.0007822,0.0007822,0.0007822
24,812.574,0.81122,0.93635,1.14383,0.63798,0.807,0.84747,0.70621,0.69723,1.04486,1.08504,0.0007723,0.0007723,0.0007723
25,868.436,0.77882,0.87772,1.12938,0.84003,0.7975,0.91521,0.78749,0.59337,0.94255,0.98832,0.0007624,0.0007624,0.0007624
26,905.367,0.80806,0.85915,1.15119,0.80555,0.81635,0.93255,0.80065,0.63421,0.82831,1.03041,0.0007525,0.0007525,0.0007525
27,948.973,0.76826,0.82071,1.11539,0.72784,0.7372,0.81475,0.69991,0.63333,0.95646,1.03761,0.0007426,0.0007426,0.0007426
28,996.18,0.73271,0.78984,1.12663,0.75346,0.80478,0.92142,0.7714,0.69146,0.93285,1.0891,0.0007327,0.0007327,0.0007327
29,1035.26,0.72144,0.72835,1.0971,0.77307,0.94168,0.96381,0.80962,0.62765,0.76068,1.04465,0.0007228,0.0007228,0.0007228
30,1077.29,0.7013,0.74679,1.08576,0.666,0.93855,0.93181,0.79086,0.64029,0.94872,1.02778,0.0007129,0.0007129,0.0007129
31,1105.43,0.72194,0.7712,1.09999,0.72865,0.89342,0.9323,0.78103,0.69661,0.85183,1.07815,0.000703,0.000703,0.000703
32,1140.17,0.75416,0.75249,1.11508,0.91884,0.84447,0.96073,0.85798,0.53401,0.67177,0.98431,0.0006931,0.0006931,0.0006931
33,1172.27,0.6987,0.69721,1.06339,0.82111,0.89558,0.94758,0.83016,0.62699,0.66541,1.0268,0.0006832,0.0006832,0.0006832
34,1205.2,0.62747,0.72401,1.02847,0.8188,0.9061,0.94377,0.79677,0.70456,0.75135,1.06801,0.0006733,0.0006733,0.0006733
35,1244.55,0.65088,0.68284,1.04493,0.86455,0.79448,0.93329,0.79976,0.64445,0.8872,1.04177,0.0006634,0.0006634,0.0006634
36,1283.69,0.66488,0.73765,1.07936,0.79554,0.82857,0.87536,0.74035,0.66036,1.18022,1.04296,0.0006535,0.0006535,0.0006535
37,1311.94,0.67306,0.72675,1.06573,0.74632,0.84422,0.91069,0.77715,0.63423,0.94088,1.04119,0.0006436,0.0006436,0.0006436
38,1346.56,0.69073,0.72411,1.08316,0.77058,0.86843,0.9473,0.83166,0.55552,0.72773,0.9936,0.0006337,0.0006337,0.0006337
39,1378.02,0.66081,0.71231,1.08301,0.81594,0.91545,0.9637,0.84348,0.59321,0.79287,1.01358,0.0006238,0.0006238,0.0006238
40,1409.46,0.74575,0.71556,1.10791,0.90563,0.8723,0.98201,0.86595,0.53037,0.61723,0.96995,0.0006139,0.0006139,0.0006139
41,1445.27,0.62873,0.63339,1.02683,0.87655,0.79461,0.96196,0.83371,0.5508,0.76262,0.98974,0.000604,0.000604,0.000604
42,1478.32,0.63354,0.68249,1.0432,0.70692,0.78776,0.94664,0.83123,0.55473,0.92085,0.98566,0.0005941,0.0005941,0.0005941
43,1513.49,0.66267,0.68186,1.05341,0.68948,0.9183,0.93831,0.84063,0.57906,0.81336,0.99806,0.0005842,0.0005842,0.0005842
44,1547.29,0.69156,0.72972,1.05577,0.8327,0.91198,0.96271,0.85875,0.56157,0.60935,0.99558,0.0005743,0.0005743,0.0005743
45,1578.02,0.61867,0.6196,1.04357,0.7667,0.9172,0.95058,0.83381,0.5997,0.67579,1.01317,0.0005644,0.0005644,0.0005644
46,1619.92,0.67907,0.63736,1.07497,0.81509,0.88536,0.87455,0.75357,0.58065,0.94088,1.0196,0.0005545,0.0005545,0.0005545
47,1650.02,0.62873,0.62116,1.02631,0.78822,0.87443,0.86081,0.74168,0.64914,0.90526,1.05663,0.0005446,0.0005446,0.0005446
48,1686.01,0.60422,0.5684,1.01516,0.80104,0.93377,0.90816,0.78762,0.62002,0.70279,1.02399,0.0005347,0.0005347,0.0005347
49,1716.25,0.60578,0.58086,1.02461,0.85178,0.91824,0.95574,0.83607,0.57741,0.65835,1.00231,0.0005248,0.0005248,0.0005248
50,1745.39,0.68845,0.60531,1.0829,0.80125,0.86864,0.9592,0.83654,0.56641,0.76185,0.99615,0.0005149,0.0005149,0.0005149
51,1785.52,0.60662,0.59677,1.03869,0.81198,0.87381,0.97106,0.85343,0.59119,0.837,1.01177,0.000505,0.000505,0.000505
52,1815.62,0.66037,0.59381,1.05246,0.85618,0.86476,0.91284,0.79015,0.57541,0.75997,0.99352,0.0004951,0.0004951,0.0004951
53,1851.31,0.61089,0.56563,1.01605,0.85399,0.87605,0.89691,0.74781,0.65929,0.70464,1.02509,0.0004852,0.0004852,0.0004852
54,1896.13,0.6176,0.57906,1.02253,0.8239,0.85704,0.89997,0.79485,0.57616,0.67163,0.99297,0.0004753,0.0004753,0.0004753
55,1930.97,0.61265,0.56366,1.02803,0.81093,0.87638,0.888,0.79577,0.5487,0.66072,0.97781,0.0004654,0.0004654,0.0004654
1,38.1634,1.22314,3.09388,1.37175,0.23793,0.24806,0.14961,0.10778,1.60922,3.57217,1.43268,0.08218,0.00018,0.00018
2,73.053,1.05221,2.08328,1.22728,0.55714,0.2564,0.31623,0.21578,1.16631,3.33304,1.22695,0.0633663,0.000366337,0.000366337
3,118.846,0.97397,1.75241,1.19935,0.74021,0.43399,0.5953,0.42413,1.27268,3.19061,1.37198,0.0445489,0.000548912,0.000548912
4,163.983,1.01891,1.66463,1.24814,0.4953,0.38814,0.34479,0.24132,1.02157,6.70554,1.16623,0.0257277,0.000727725,0.000727725
5,215.432,1.06975,1.56124,1.25589,0.48112,0.28946,0.33887,0.25426,1.06484,4.66973,1.21007,0.00690278,0.000902776,0.000902776
6,275.449,0.97754,1.46145,1.18365,0.49029,0.23508,0.27399,0.20545,1.05925,2.2936,1.19935,0.0009505,0.0009505,0.0009505
7,338.604,0.91456,1.36563,1.17134,0.44997,0.38984,0.40436,0.34714,0.74326,1.88235,1.03106,0.0009406,0.0009406,0.0009406
8,396.208,0.91956,1.3555,1.16079,0.55914,0.40167,0.41653,0.33702,0.76843,1.82924,1.05997,0.0009307,0.0009307,0.0009307
9,452.289,0.88273,1.25276,1.15549,0.47979,0.29784,0.28338,0.25259,0.73718,1.64899,1.05964,0.0009208,0.0009208,0.0009208
10,505.003,0.85214,1.17963,1.12703,0.68193,0.55571,0.60584,0.51053,0.78987,1.6914,1.05953,0.0009109,0.0009109,0.0009109
11,564.438,0.89772,1.14549,1.15161,0.55244,0.55082,0.53863,0.43768,0.84473,1.51376,1.10515,0.000901,0.000901,0.000901
12,622.098,0.88094,1.08303,1.1378,0.8338,0.44999,0.4807,0.42533,0.62862,1.10966,0.96948,0.0008911,0.0008911,0.0008911
13,672.289,0.83021,1.05516,1.11463,0.7261,0.3609,0.4308,0.37996,0.61379,1.33206,0.96006,0.0008812,0.0008812,0.0008812
14,729.901,0.74064,0.94566,1.07936,0.5052,0.64828,0.56491,0.48999,0.65108,1.48351,1.0051,0.0008713,0.0008713,0.0008713
15,788.457,0.79576,0.9246,1.09383,0.64758,0.82174,0.79493,0.69017,0.64831,1.07625,1.01141,0.0008614,0.0008614,0.0008614
16,846.858,0.78893,0.9548,1.10338,0.78961,0.68101,0.81806,0.69581,0.60597,1.40972,0.99722,0.0008515,0.0008515,0.0008515
17,918.506,0.78655,0.94346,1.09489,0.67171,0.77187,0.76246,0.62585,0.77338,1.13621,1.14852,0.0008416,0.0008416,0.0008416
